file,line,text,korean
AccountPickupPage.tsx,135,"Reset",""
AccountPickupPage.tsx,136,"All",""
AccountPickupPage.tsx,137,"Done",""
AccountPickupPage.tsx,430,"Account Pick-up",""
AccountPickupPage.tsx,484,"Active Accounts",""
AccountPickupPage.tsx,487,"accounts",""
AccountPickupPage.tsx,497,"R/N",""
AccountPickupPage.tsx,511,"KRW",""
AccountPickupPage.tsx,523,"KRW",""
AccountPickupPage.tsx,593,"YoY%",""
AccountPickupPage.tsx,594,"ACTUAL",""
AccountPickupPage.tsx,595,"Same date vs LY",""
AccountPickupPage.tsx,596,"LY ACTUAL",""
AccountPickupPage.tsx,600,"ACCOUNT",""
AccountPickupPage.tsx,601,"vs LY",""
AccountPickupPage.tsx,602,"R/N",""
AccountPickupPage.tsx,603,"ADR",""
AccountPickupPage.tsx,604,"REV",""
AccountPickupPage.tsx,605,"R/N",""
AccountPickupPage.tsx,606,"ADR",""
AccountPickupPage.tsx,607,"REV",""
AccountPickupPage.tsx,608,"R/N",""
AccountPickupPage.tsx,609,"ADR",""
AccountPickupPage.tsx,610,"REV",""
AccountPickupPage.tsx,618,"YoY%",""
AccountPickupPage.tsx,619,"OTB",""
AccountPickupPage.tsx,620,"PICKUP",""
AccountPickupPage.tsx,622,"GAP",""
AccountPickupPage.tsx,626,"ACCOUNT",""
AccountPickupPage.tsx,627,"vs LY",""
AccountPickupPage.tsx,628,"R/N",""
AccountPickupPage.tsx,629,"ADR",""
AccountPickupPage.tsx,630,"REV",""
AccountPickupPage.tsx,631,"R/N",""
AccountPickupPage.tsx,632,"ADR",""
AccountPickupPage.tsx,633,"REV",""
AccountPickupPage.tsx,634,"R/N",""
AccountPickupPage.tsx,635,"ADR",""
AccountPickupPage.tsx,636,"REV",""
AccountPickupPage.tsx,637,"R/N",""
AccountPickupPage.tsx,638,"ADR",""
AccountPickupPage.tsx,639,"REV",""
AccountPickupPage.tsx,708,"Total",""
BudgetPage.tsx,217,"Segmentation",""
BudgetPage.tsx,230,"Month Status",""
BudgetPage.tsx,1709,"Budget Date",""
BudgetPage.tsx,2016,"R/N",""
BudgetPage.tsx,2042,"ADR",""
BudgetPage.tsx,2068,"REV",""
BudgetPage.tsx,2168,"R/N",""
BudgetPage.tsx,2360,"Budget",""
CountryPickupPage.tsx,77,"Reset",""
CountryPickupPage.tsx,78,"All",""
CountryPickupPage.tsx,79,"Done",""
CountryPickupPage.tsx,142,"Reset",""
CountryPickupPage.tsx,143,"All",""
CountryPickupPage.tsx,144,"Done",""
CountryPickupPage.tsx,512,"Country Pick-up",""
CountryPickupPage.tsx,584,"Active Countries",""
CountryPickupPage.tsx,587,"countries",""
CountryPickupPage.tsx,589,"Based on filters",""
CountryPickupPage.tsx,595,"Occupancy",""
CountryPickupPage.tsx,606,"Pickup",""
CountryPickupPage.tsx,621,"Average Daily Rate",""
CountryPickupPage.tsx,624,"KRW",""
CountryPickupPage.tsx,628,"Change",""
CountryPickupPage.tsx,638,"Revenue",""
CountryPickupPage.tsx,641,"KRW",""
CountryPickupPage.tsx,645,"Pickup",""
HotelDetailPage.tsx,403,"Standard",""
HotelDetailPage.tsx,404,"Enterprise",""
HotelDetailPage.tsx,503,"Asia/Seoul (KST)",""
HotelDetailPage.tsx,504,"Asia/Tokyo (JST)",""
HotelDetailPage.tsx,505,"UTC",""
HotelNewPage.tsx,236,"Standard",""
HotelNewPage.tsx,237,"Enterprise",""
HotelNewPage.tsx,304,"Asia/Seoul (KST)",""
HotelNewPage.tsx,305,"Asia/Tokyo (JST)",""
HotelNewPage.tsx,306,"UTC",""
HotelsPage.tsx,483,"Standard",""
HotelsPage.tsx,484,"Enterprise",""
InvitePage.tsx,110,"Stay",""
LandingPage.tsx,108,"NovaStay",""
LandingPage.tsx,213,"SCROLL",""
LandingPage.tsx,239,"PROBLEM",""
LandingPage.tsx,281,"SOLUTION",""
LandingPage.tsx,307,"SYSTEM ARCHITECTURE",""
LandingPage.tsx,338,"VS GLOBAL RMS",""
LandingPage.tsx,432,"PRICING",""
LandingPage.tsx,490,"ROADMAP",""
LandingPage.tsx,553,"CONTACT",""
LoginPage.tsx,172,"Stay",""
LoginPage.tsx,185,"Revenue Management System",""
LoginPage.tsx,274,"Stay",""
LoginPage.tsx,285,"Optima",""
MarketCodeManagementPage.tsx,621,"Total",""
MarketCodeManagementPage.tsx,639,"Rev.PAR",""
MarketPickupPage.tsx,97,"Market Pick-up",""
MenuSettingsPage.tsx,527,"Main",""
MenuSettingsPage.tsx,528,"Sub",""
MenuSettingsPage.tsx,529,"Setting",""
NoHotelPage.tsx,27,"Stay",""
PickupPage.tsx,101,"Pick-up",""
PickupPage.tsx,115,"OTB",""
RateStrategyPage.tsx,1464,"BAR Rate",""
RateStrategyPage.tsx,1565,"OCC",""
ResetPasswordPage.tsx,112,"Stay",""
SelectHotelPage.tsx,53,"Stay",""
SettingsPage.tsx,283,"Configure your NovaStay workspace",""
UploadOnlyPage.tsx,45,"Optima",""
AccountModal.tsx,238,"Account",""
AccountModal.tsx,240,"PICKUP VS OTB",""
AccountModal.tsx,323,"RevPAR",""
ActualBudgetDetailModal.tsx,284,"OTB",""
ActualBudgetDetailModal.tsx,285,"Actual",""
ActualBudgetModal.tsx,274,"OTB",""
ForecastBudgetModal.tsx,347,"RevPAR",""
GMDailyReportModal.tsx,308,"BAR",""
GMDailyReportModal.tsx,1431,"OCC",""
GMDailyReportModal.tsx,1477,"BAR",""
LyComparisonAccountModal.tsx,377,"Account",""
LyComparisonAccountModal.tsx,389,"GAP",""
LyComparisonAccountModal.tsx,473,"RevPAR",""
LyComparisonSegModal.tsx,412,"GAP",""
LyComparisonSegModal.tsx,505,"RevPAR",""
MonthlyPickupAccountModal.tsx,481,"RevPAR",""
MonthlyPickupAccountTotalModal.tsx,410,"RevPAR",""
MonthlyPickupSegModal.tsx,407,"RevPAR",""
MonthlyPickupSegTotalModal.tsx,372,"RevPAR",""
SegmentationModal.tsx,260,"PICK-UP",""
SegmentationModal.tsx,320,"RevPAR",""